label,emotion,pc_num,cluster
joy_PC1,joy,1,1
joy_PC2,joy,2,4
joy_PC3,joy,3,3
joy_PC4,joy,4,5
joy_PC5,joy,5,6
trust_PC1,trust,1,1
trust_PC2,trust,2,4
trust_PC3,trust,3,3
trust_PC4,trust,4,5
trust_PC5,trust,5,6
fear_PC1,fear,1,1
fear_PC2,fear,2,4
fear_PC3,fear,3,5
fear_PC4,fear,4,3
fear_PC5,fear,5,8
surprise_PC1,surprise,1,1
surprise_PC2,surprise,2,3
surprise_PC3,surprise,3,4
surprise_PC4,surprise,4,7
surprise_PC5,surprise,5,2
sadness_PC1,sadness,1,1
sadness_PC2,sadness,2,4
sadness_PC3,sadness,3,3
sadness_PC4,sadness,4,8
sadness_PC5,sadness,5,5
disgust_PC1,disgust,1,1
disgust_PC2,disgust,2,4
disgust_PC3,disgust,3,3
disgust_PC4,disgust,4,8
disgust_PC5,disgust,5,5
anger_PC1,anger,1,1
anger_PC2,anger,2,4
anger_PC3,anger,3,3
anger_PC4,anger,4,7
anger_PC5,anger,5,5
anticipation_PC1,anticipation,1,1
anticipation_PC2,anticipation,2,4
anticipation_PC3,anticipation,3,2
anticipation_PC4,anticipation,4,6
anticipation_PC5,anticipation,5,3
